state,x,y
Andhra Pradesh,-120,-140
Arunachal Pradesh,150,140
Assam,125,98
Bihar,25,75
Chhattisgarh,-45,0
Goa,-200,-130
Gujarat,-240,20
Haryana,-148,150
Himachal Pradesh,-130,200
Jharkhand,7,42
Karnataka,-175,-140
Kerala,-165,-230
Madhya Pradesh,-140,20
Maharashtra,-185,-60
Manipur,185,70
Meghalaya,110,80
Mizoram,160,40
Nagaland,189,98
Odisha,0,-30
Punjab,-160,180
Rajasthan,-210,95
Sikkim,63,126
Tamil Nadu,-120,-230
Telangana,-110,-80
Tripura,127,44
Uttarakhand,-100,170
Uttar Pradesh,-80,90
West Bengal,50,30

Andaman and Nicobar Islands
Chandigarh
Dadra and Nagar Haveli and
Daman & Diu
Delhi,-130,138
Jammu & Kashmir,-165,253
Ladakh
Lakshadweep
Puducherry
